zp,mu,absmagnitude,magnitude,time,e_absmagnitude,upperlimit,z,instrument,e_magnitude,e_flux,name,flux,band,e_zp,facility
-48.6,37.65880949200498,-14.85106474965719,22.807744742347786,58155.402475,11.259386081419175,False,0.07944,Kepler,-11.401036503314346,2.7963303404355267e-29,2017jgh,-2.734652222369723e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.007228308163825,22.651581183841152,58155.422908,9.76488343339514,False,0.07944,Kepler,11.242666232786284,2.7963303404355267e-29,2017jgh,3.157675710663138e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.410262759558229,23.248546732446748,58155.443342,16.907594019520285,False,0.07944,Kepler,10.633935240553033,2.7963303404355267e-29,2017jgh,1.822138175192323e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.242304900469712,22.416504591535265,58155.484209,7.859591806535166,False,0.07944,Kepler,10.596993390129752,2.7963303404355267e-29,2017jgh,3.9210119273559166e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.878488127174741,21.780321364830236,58155.504642,4.378616109230258,False,0.07944,Kepler,7.46860372572777,2.7963303404355267e-29,2017jgh,7.044845191780251e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.982686552568673,22.676122939436304,58155.525076,9.981507319477064,False,0.07944,Kepler,11.282809366155778,2.7963303404355267e-29,2017jgh,3.0871008990230555e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.323899142026669,22.33491034997831,58155.545509999996,7.291219370231383,False,0.07944,Kepler,10.277565813591796,2.7963303404355267e-29,2017jgh,4.227035157589042e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.21468893668196,22.444120555323018,58155.565943,8.063526581658014,False,0.07944,Kepler,10.695207562408099,2.7963303404355267e-29,2017jgh,3.822537704495671e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.212505385473413,22.446304106531564,58155.586377,8.07766526319484,False,0.07944,Kepler,10.702744217469071,2.7963303404355267e-29,2017jgh,3.814857828595571e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.793500945305688,21.86530854669929,58155.606811,4.731456104758113,False,0.07944,Kepler,7.925407028537665,2.7963303404355267e-29,2017jgh,6.514432393027383e-29,K,0.0,Kepler
